AISHE Code,Name,State,District,City,Website,Year ,Location,Type,Management,University,Category,Email,Phone No
,D464 Sri Kanakadasa Degree College Sindhanur,Karnataka,Raichur,,-,,,tech,,,,,
,D498 Aftab Degree College Yermaras Camp Raichur,Karnataka,Raichur,,www.aftabeducation.com,,,tech,,,,,
,"C517 DR RAVINDRANATH TAGOOR ARTS COLLEGE, CHITTAPUR",Karnataka,Kalaburagi,,www.bcmeducation.com,,,tech,,,,,
,D509 Basava Arts Degree College Deodurg,Karnataka,Raichur,,-,,,tech,,,,,
,D518 OXFORD DEGREE COLLEGE,Karnataka,Raichur,,https://www.oxfordcollegesnd.com/,,,tech,,,,,
,"National Institute of Engineering, MYSORE",Karnataka,Mysuru,,www.nie.ac.in,,,tech,,,,,
,"Atria Institute of Technology, BANGALORE",Karnataka,Bengaluru Urban,,www.atria.edu,,,tech,,,,,
,VIDYA RASHMI FIRST GRADE COLLEGE VIDYAGANGOTHRI,Karnataka,Dakshina Kannada,,www.vidyarashmi.in,,,tech,,,,,
,"C612 SRI. SHIVALINGESHWAR F.G. DEGREE. COLLEGE, AFZALPUR,",Karnataka,Kalaburagi,,www.sfgc.com,,,tech,,,,,
,"D549 KARNATAKA ARTS AND COMMERCE DEGREE COLLEGE, DEODURGA, RAICHUR",Karnataka,Raichur,,kaacdcdod2016.com,,,tech,,,,,
,C321 B.Shyamsundar College of Phy Education Gulbarga,Karnataka,Kalaburagi,,www.shribsmbpedcollege.in,,,tech,,,,,
,C390 Shriman Dharmsingh College of Education Gulbarga,Karnataka,Kalaburagi,,shrimandharamsinghbedcolleg.org,,,tech,,,,,
,"B222 KAVIRATNA KALIDAS FIRST GRADE COLLEGE, BIDAR",Karnataka,Bidar,,kkfgcollegebidar.in,,,tech,,,,,
,C601 Shree Basavaraj Hiremath diggi degree college Shorapur,Karnataka,Yadgir,,-,,,tech,,,,,
,"SJMV's Business Administration College for Women J.C.Nagar, Hubli-580 020",Karnataka,Dharwad,,www.moorusavirmath.org,,,mgt,,,,,
,"Smt. Gali Rukminamma Chengareddy Memorial Govt. Commerce and Management College,  Ballari - 583102",Karnataka,Ballari,,www.gfgc.kar.nic.in,,,mgt,,,,,
,"The Siruguppa Education Societys B E Ramaiah Arts and Commerce College for Women, Bellary Road, Siruguppa",Karnataka,Ballari,,BERWDC.COM,,,tech,,,,,
,C425 Sha Bra Mahanta Shivachary Swamyji Degree college,Karnataka,Kalaburagi,,www.rectglb.org,,,tech,,,,,
,"Indian College of Education for women, Kamthan Road, Chidri-Bidar-585403",Karnataka,Bidar,,www.icewbed.com,,,tech,,,,,
,"Anjuman Arts College for Women Koulpet,  Hubli-580 020",Karnataka,Dharwad,,www.anjuman-e-islam.com,,,tech,,,,,
,C431 Govt  F G College Kalgi,Karnataka,Kalaburagi,,https://gfgc.karnataka.gov.in/kalagi,,,tech,,,,,
,"S.J.M.V: B.A.J.S.S Arts & Commerce College for Women Church Road, Post Box No:52, Ranebennur-581 115",Karnataka,Haveri,,www.sjmvwomenscollege.in,,,tech,,,,,
,"Mumbai Karnataka Education Trust's Education College for Women, Ranebennur-581115",Karnataka,Haveri,,www.mketrnr.org,,,tech,,,,,
,B534 SANDEEP TAXILA Degree College of Commerce ,Karnataka,Bidar,,www.sandeeptaxila05.com,,,tech,,,,,
,"Sahyadri Arts College, Shivamogga",Karnataka,Shivamogga,,www.sahyadriacs.org,,,tech,,,,,
,"The Institute of Education Onkarmal Somani College of Education, Kuvempunagar",Karnataka,Mysuru,,www.somanieducations.in,,,tech,,,,,
,GOVERNMENT FIRST GRADE COLLEGE HEBBALA BENGALURU,Karnataka,Bengaluru Urban,,https://gfgc.kar.nic.in/hebbal,,,tech,,,,,
,VOGUE BUSINESS SCHOOL,Karnataka,Bengaluru Rural,,dks.edu.in,,,mgt,,,,,
,"SES WELFARE'S SWAMI VIVEKANADA BCA COLLEGE CHIKKODI ROAD, EXAMBA",Karnataka,Belagavi,,-,,,tech,,,,,
,EAST WEST BUSINESS SCHOOL,Karnataka,Bengaluru Urban,,ewipuc.com,,,mgt,,,,,
,JNANODAYA COMMERCE AND MANAGEMENT ACADEME,Karnataka,Bengaluru Urban,,https://jnanodayainstitutions.edu.in/,,,mgt,,,,,
,"CSTE SOCIETY'S  SSN ARTS AND COMMERCE COLLEGE, HUKKERI",Karnataka,Belagavi,,www.cstesssncollege.in,,,tech,,,,,
,SVNK COLLEGE OF COMMERCE AND MANAGEMENT,Karnataka,Bengaluru Urban,,https://svnkcollege.in,,,mgt,,,,,
,MISBAH WOMENS COLLEGE,Karnataka,Dakshina Kannada,,www.misbahwomenscollege.com,,,tech,,,,,
,VINOOTHANA WOMENS DEGREE COLLEGE KAMPLI,Karnataka,Ballari,,www.vwdkampli.in,,,tech,,,,,
,C622 PRAGNYA DEGREE COLLEGE SHAHAPUR DIST YADAGIRI,Karnataka,Yadgir,,-,,,tech,,,,,
,"BBMP FIRST GRADE COLLEGE, MAGADI ROAD, BANGALORE 560023.080 23503955",Karnataka,Bengaluru Urban,,BBMP.GOV.IN,,,tech,,,,,
,"B269 Govt First Grade Degree College,Manhalli",Karnataka,Bidar,,https://gfgc.kar.nic.in/manahalli/,,,tech,,,,,
,Samvaad College of Speech and Hearing,Karnataka,Bengaluru Urban,,www.samvaadinstitute.org,,,tech,,,,,
,JNANA JYOTHI EVENING DEGREE COLLEGE,Karnataka,Bengaluru Urban,,www.jjedcynk.edu.in,,,tech,,,,,
,"Jnanajyothi Degree College, CA 23, 3rd Cross, Yelahanka New Town, Bangalore  64",Karnataka,Bengaluru Urban,,www.jnanajyothiynk.com,,,tech,,,,,
," JD School of Design, No 18, Edward House, Brigade Road, Shanthala Nagara, Bengaluru-560001",Karnataka,Bengaluru Urban,,www.jdinstitute.edu.in,,,tech,,,,,
,SGM DEGREE COLLEGE,Karnataka,Bengaluru Urban,,www.sgmgroup.org,,,tech,,,,,
,C697 SWAMY VIVEKANANDA ARTS DEGREE COLLEGE SEDAM,Karnataka,Kalaburagi,,-,,,tech,,,,,
,"Janatha First Grade College, Chamarajapet, Bangalore-18",Karnataka,Bengaluru Urban,,www.janathavidyalaya.com,,,tech,,,,,
,Veerashaiva Samaji HCMSK Degree College Raichur,Karnataka,Raichur,,svshcmskdegree.org,,,tech,,,,,
,"HKBK Degree College (K.S.M.F First Grade College), No.6/1, Contonment Station Road, Bangalore-51",Karnataka,Bengaluru Urban,,www.hkbkdegreecollege.com,,,tech,,,,,
,"International Institute of Business Studies, No.70, Sujatha Complex, KHB Main Road, RT Nagar, Bangalore-560 032",Karnataka,Bengaluru Urban,,www.iibs.org.in,,,mgt,,,,,
,"Hasnath College for Women, 43, Dickenson Road, Bangalore-42",Karnataka,Bengaluru Urban,,http://hasanathcollegeforwomen.com,,,tech,,,,,
,SAI VIDYA NIDHI NATIONAL DEGREE COLLEGE,Karnataka,Chikkaballapura,,www.saividyanidhi.com,,,tech,,,,,
,D409 SRK College of Education Raichur,Karnataka,Raichur,,https://srkbededurcr.com/,,,tech,,,,,
,Sree Adithya Degree College,Karnataka,Bengaluru Rural,,www.sreeadithyacollege.com,,,tech,,,,,
,"ST. FRANCIS DE SALES COLLEGE, MERMIER NAGAR, HUSKUR GATE, ELECTRONIC CITY POST, BANGALORE",Karnataka,Bengaluru Urban,,www.sfscollege.in,,,tech,,,,,
,"Hasnath Academy of Management Studies, No.43, Dickenson Road, Bangalore-42",Karnataka,Bengaluru Urban,,www.hasanathcolleges.com,,,mgt,,,,,
,"SRI VIDYANIDHI WOMENS FIRST GRADE COLLEGE, SBI BANK OPPOSITE, SHAHAPUR",Karnataka,Yadgir,,www.svwdc.in,,,tech,,,,,
,Advitya Degree College,Karnataka,Bengaluru Rural,,www.advityacollege.edu.in,,,tech,,,,,
,"Huda National Arts, Commerce and Science Degree College",Karnataka,Bengaluru Urban,,www.hudadegreecollege.in,,,tech,,,,,
,CREO Valley College,Karnataka,Bengaluru Urban,,www.creovalley.com,,,tech,,,,,
,"Sri Sai College for Women, #1889, 3rd Cross, II Stage,Rajajinagar, Banglaore-10",Karnataka,Bengaluru Urban,,www.srisaicollegeforwomen.org,,,tech,,,,,
,"VIVEKANANDA INSTITUTE OF MANAGEMENT, RAJAJINAGAR",Karnataka,Bengaluru Urban,,www.vimjes.edu.in,,,mgt,,,,,
,"GRV Business Management Academy, #19, 2nd Cross, Ganganagar, Bellary Road, Bangalore -560 032.(10-11)",Karnataka,Bengaluru Urban,,www.grvacademy.com,,,mgt,,,,,
,"Govt. Arts College, K.R. Circle, Bangalore-1",Karnataka,Bengaluru Urban,,https://gfgc.karnataka.gov.in/gac/public/en,,,tech,,,,,
,"S.E.A College of Science, Commerce and Arts, Ekta Nagar, Basavanapura, Virgo Nagar Post, Bengaluru",Karnataka,Bengaluru Urban,,www.seadegree.ac.in,,,tech,,,,,
,"SHREE MAHALAXMI GROUP EDUCATION SOCIETY??, SHANTINIKETAN DEGREE COLLEGE, PARISHWAD ROAD, AP KHANAPUR, TQ KHANAPUR, DT BELAGAVI",Karnataka,Belagavi,,shantiniketandegreecollege.org,,,tech,,,,,
,JANASEVA SAMITI'S VINAY HUBBALLI B.C.A. COLLEGE,Karnataka,Belagavi,,-,,,tech,,,,,
,"OM SAI DEGREE COLLEGE, KADABAGERE",Karnataka,Bengaluru Urban,,-,,,tech,,,,,
,IMJ INSTITUTE OF SCIENCE AND COMMERCE ,Karnataka,Udupi,,www.imjisc.com,,,tech,,,,,
,CHANNABASAVESHWAR DEGREE COLLEGE BASAVAKALYAN,Karnataka,Bidar,,-,,,tech,,,,,
,KARUNYA FIRST GRADE COLLEGE ,Karnataka,Bengaluru Urban,,info.kfgc@gmail.com,,,tech,,,,,
,Goutham College of Education,Karnataka,Bengaluru Urban,,gouthamcollege.org,,,tech,,,,,
,"Bishop Narman Car Sargent  College Of Commerce &Business  Management,Mysore",Karnataka,Mysuru,,WWW.BNCS.COM,,,mgt,,,,,
,MOTHER THERESA DEGREE COLLEGE,Karnataka,Kolar,,-,,,tech,,,,,
,"B569 VIDYANIKETAN DEGREE. COLLEG, BHALKI",Karnataka,Bidar,,-,,,tech,,,,,
,"Smt. Allum Sumangalamma Memorial College for Women, Ballari- 583103",Karnataka,Ballari,,www.smtasmc.org,,,tech,,,,,
,"MANORAMA COLLEGE OF COMMERCE , KC RANI ROAD, VIDYANAGAR, GADAG.",Karnataka,Gadag,,manoramacollege.edu.in,,,tech,,,,,
,"Government First Grade College, Bellavi",Karnataka,Tumakuru,,www.gfgc.kar.nic.in,,,tech,,,,,
,MAR IVANIOS COLLEGE,Karnataka,Dakshina Kannada,,www.marivanioscollege.org,,,tech,,,,,
,ICAT Design and Media College,Karnataka,Bengaluru Urban,,www.icat.ac.in,,,tech,,,,,
,SHRI MALLIKARJUN EDUCATION TRUSTS SHRI GANGARAM FIRST GRADE COLLEGE,Karnataka,Belagavi,,gangaramfgch.com,,,tech,,,,,
,"VIDYA BHARATI FOUNDATIONS INSTITUTE OF BUSINESS MANAGEMENT AND RESEARCH, MBA, VIDYA NAGAR, HUBLI",Karnataka,Dharwad,,www.ibmr.edu.in,,,mgt,,,,,
,"ST PHILOMENA COLLEGE, PHILONAGAR, DARBE, PUTTUR, D. K., 574202 KARNATAKA, INDIA",Karnataka,Dakshina Kannada,,www.spcputtur.ac.in,,,tech,,,,,
,"Sai Vidya Institute of Technology, BANGALORE",Karnataka,Bengaluru Urban,,www.saividya.ac.in,,,tech,,,,,
,"Bearys Institute of Technology, MANGALORE",Karnataka,Dakshina Kannada,,www.bitmangalore.edu.in,,,tech,,,,,
,"KLEs College of Engineering & Technology, Chikkodi",Karnataka,Belagavi,,www.klecet.edu.in,,,tech,,,,,
,"Navodaya Institute of Technology, RAICHUR",Karnataka,Raichur,,https://engineering.navodaya.edu.in,,,tech,,,,,
,"B G S Inst., of Technology, Mandya Dist",Karnataka,Mandya,,www.bgsit.ac.in,,,tech,,,,,
,"K L E SOCIETY'S COMMERCE COLLEGE, BELAGAVI",Karnataka,Belagavi,,www.klecollegeofcommercebgm.com,,,tech,,,,,
,"Shri Kalavara Varadaraj M. Shetty Govt. First Grade College, Kundapura, Post:Koteshwara, Udupi District, PIN-576222",Karnataka,Udupi,,https://gfgc.kar.nic.in/kundapura/,,,tech,,,,,
,"Sri Basaveshwara College of Education, Tiptur",Karnataka,Tumakuru,,www.sbedcoe.com,,,tech,,,,,
,"Government First Grade College, Kunigal",Karnataka,Tumakuru,,www.gfgc.karnataka.gov.in/kunigal/public,,,tech,,,,,
,INDIAN DESIGN SCHOOL MANGALORE,Karnataka,Dakshina Kannada,,www.indiandesignschool.com,,,tech,,,,,
,JNANA VIKAS womens degree college jewargi,Karnataka,Kalaburagi,,-,,,tech,,,,,
,"Sri Jagadguru Panditharadhya Arts College, Hunasemaranahalli-56217.",Karnataka,Bengaluru Urban,,-,,,tech,,,,,
,AJUMAN REFAHE AAM ANJUMAN DEGREE COLLEGE NAVANAGAR BAGALKOT,Karnataka,Bagalkote,,-,,,tech,,,,,
,SHRI BASAVESHWAR DEGREE COLLEGE ATHANI,Karnataka,Belagavi,,https://shreebasaveshwarathani.edu.in/Page.aspx?g,,,tech,,,,,
,"A M C Engineering College , BANGALORE",Karnataka,Bengaluru Urban,,www.amcec.edu.in,,,tech,,,,,
,C471 SMT BHAGAMMA DEGREE COLLEGE OF ARTS,Karnataka,Kalaburagi,,-,,,tech,,,,,
,"Presidency College, No.33-2C, 33-2D, Kempapuara Hebbal, Bangalore-24",Karnataka,Bengaluru Urban,,www.presidencycollege.ac.in,,,tech,,,,,
,C411 SRI MAILARLINGESHWAR FIRST GR COLLEGE,Karnataka,Kalaburagi,,www.arundhatidc.org,,,tech,,,,,
,"C.B Degree College, Bhalki",Karnataka,Bidar,,www.cbblk.net,,,tech,,,,,
,C641 SAMRAT ASHOK MSW COLLEGE KALABURAGI,Karnataka,Kalaburagi,,http://samratashokcolleges.com,,,tech,,,,,
,"Florence Degree College, #60/15/116/2, Huskur Main Road, Near Fruit Market, Electronic City Post, Bangalore-560100",Karnataka,Bengaluru Urban,,www.florenceinstitution.com,,,tech,,,,,
,DON BOSCO COLLEGE ,Karnataka,Bengaluru Urban,,www.dbcblr.edu.in,,,tech,,,,,
,EAST WEST SCHOOL OF BUSINESS MANAGEMENT,Karnataka,Bengaluru Urban,,www.ewgi.edu.in,,,mgt,,,,,
,"Dr. Ambedkar Institute of Management Studies, HAL, IInd Stage, Indiranagar, Bangalore-38",Karnataka,Bengaluru Urban,,www.drambedkarcollege.in,,,mgt,,,,,
,VISTHAR ACADEMY,Karnataka,Bengaluru Urban,,www.vistharacademy.org,,,tech,,,,,
,ARIHANT INSTITUTE OF COMMERCE AND MANAGEMENT KANAKAPURA MAIN ROAD,Karnataka,Bengaluru Urban,,www.agiedu.in,,,mgt,,,,,
,DBHPS DR.B.D.JATTI COLLEGE OF EDUCATION,Karnataka,Vijayapura,,www.dbhps-karnataka-bed-bijapur.org,,,tech,,,,,
,"DBHPS BASAVESHWARA COLLEGE OF EDUCATION, MYSORE",Karnataka,Mysuru,,www.dbhps-karnataka-bed-mys.org,,,tech,,,,,
,C362 NAIK DEGREE COLLEGE OF ARTS WADI,Karnataka,Kalaburagi,,"WWW.NDCOLLEGE,IN",,,tech,,,,,
,"Government First Grade College, Doddaballapura",Karnataka,Bengaluru Rural,,https://gfgc.karnataka.gov.in/gfgcdoddaballapura/public/,,,tech,,,,,
,THE KINGDOM COLLEGE,Karnataka,Bengaluru Urban,,www.thekingdomcollege.com,,,tech,,,,,
,R T Nagar Degree College,Karnataka,Bengaluru Urban,,www.rtnagargroups.com,,,tech,,,,,
,SARANGA COLLEGE OF COMMERCE AND COMPUTER APPLICATION,Karnataka,Tumakuru,,vikascollegetumkur.in,,,tech,,,,,
,SHRI REVANASIDDESHWAR RURAL DEVELOPMENT AND SOCIAL WELFARE SOCIETYS SHRI S M PATIL COMMERCE DEGREE COLLEGE GHATAPRABHA TQ GOKAK DIST BELAGAVI,Karnataka,Belagavi,,www.srrdsws.org,,,tech,,,,,
,"C624 SRI GURUKULA BA, B.COM DEGREE COLLEGE RANGAMPET",Karnataka,Yadgir,,-,,,tech,,,,,
,SRI JNANAYOGI SIDDESHWAR SRI DEGREE COLLEGE AFZALPUR,Karnataka,Kalaburagi,,-,,,tech,,,,,
,EIMR BUSINESS SCHOOL,Karnataka,Bengaluru Urban,,eimrglobal.org,,,mgt,,,,,
,"Government First Grade College for Women, Doddaballapura",Karnataka,Bengaluru Rural,,http://gfgc.kar.nic.in/doddaballapura-women,,,tech,,,,,
,GOVERNMENT FIRST GRADE COLLEGE & P.G. CENTER  CHINTHAMANI -563125,Karnataka,Chikkaballapura,,https://gfgc.karnataka.gov.in/gfgcchintamani/public/,,,tech,,,,,
,SAMVEDANA SCIENCE AND COMMERCE FIRST GRADE COLLEGE KHAMBADAKONE,Karnataka,Udupi,,www.samvedanacollege.com,,,tech,,,,,
,SESHADRIPURAM INSTITUTE OF MANAGEMENT STUDIES,Karnataka,Bengaluru Urban,,www.simsblr.ac.in,,,mgt,,,,,
,PRISM DEGREE COLLEGE,Karnataka,Dharwad,,-,,,tech,,,,,
,University College of Physical Education,Karnataka,Bengaluru Urban,,https://bangaloreuniversity.karnataka.gov.in/,,,tech,,,,,
,University Vishweshwaraya College of Engineering,Karnataka,Bengaluru Urban,,www.uvce.ac.in,,,tech,,,,,
,AVK EVENING COLLEGE,Karnataka,Bengaluru Urban,,www.avkedu.com,,,tech,,,,,
,grace international college,Karnataka,Bengaluru Urban,,www.grace_international.in,,,tech,,,,,
,Shri Basaveshwar International Yoga Kendra Kundgol,Karnataka,Dharwad,,jssvkundgol.org,,,tech,,,,,
,Jagadguru Shri Shivanand Commerce College  Kundgol,Karnataka,Dharwad,,jssvkundgol.org,,,tech,,,,,
,UNIVERSITY EVENING COLLEGE MANGALORE,Karnataka,Dakshina Kannada,,www.uecmangalore.in,,,tech,,,,,
,MOHAMMDIA DEGREE COLLEGE     ,Karnataka,Ballari,,WWW.mohammadia.org,,,tech,,,,,
,RAY Integrated College,Karnataka,Bengaluru Urban,,www.raycollege.ac.in,,,tech,,,,,
,EARTHA-Elements of Art and Heritage Academy,Karnataka,Bengaluru Urban,,www.earthacharitabletrust.com,,,tech,,,,,
,"Vidya Vardhaka Sangha First Grade College, Basaveshwaranagar, ",Karnataka,Bengaluru Urban,,vvsdegreecollege.com,,,tech,,,,,
,"Govt. First Grade College, Devanahalli-562110",Karnataka,Bengaluru Rural,,https://gfgc.kar.nic.in/devanahalli/,,,tech,,,,,
,"Government First Grade College, Chikkaballapura",Karnataka,Chikkaballapura,,WWW.GFGC.CHICKBALLAPUR,,,tech,,,,,
,"Govt. First Grade College, Bangarpet-563114, Kolar Dist.",Karnataka,Kolar,,www.gfgcbangarpet.org,,,tech,,,,,
,GOVERNMENT ENGINEERING COLLEGE  TALAKAL,Karnataka,Koppal,,https://dte.karnataka.gov.in/Institutes/gectalakal/,,,tech,,,,,
,GNYANA SUDHA DEGREE COLLEGE FOR ARTS SCIENCE AND COMMERCE BIDAR,Karnataka,Bidar,,http://gnyanasudhadegreecollege.com/,,,tech,,,,,
,SONIYA EDUCATION TRUSTS SONIYA ARTS SCIENCE AND COMMERCE COLLEGE  DHARWAD,Karnataka,Dharwad,,www.soniyadegreecollege.org,,,tech,,,,,
,"SRI KRISHNA DEGREE COLLEGE, CHIKKADEVASANDRA",Karnataka,Bengaluru Urban,,-,,,tech,,,,,
,"Government First Grade College, Vemagal-563 101, Kolar Dist.",Karnataka,Kolar,,www.gfgc.kar.nic.in/vemagal,,,tech,,,,,
,NATIONAL DEGREE COLLEGE HOSAPETE,Karnataka,Vijayanagara,,www.nationaldegreehpt@gmail.com,,,tech,,,,,
,"Government First Grade College, Sulibele, Hoskote Taluk, Bangalore Rural Dist",Karnataka,Bengaluru Rural,,https://gfgc.kar.nic.in/sulibele,,,tech,,,,,
,Abhaya Group of Institution,Karnataka,Bengaluru Urban,,www.abhayagroup.com,,,tech,,,,,
,"SHREE SIDDESHWARA VIDYAVRDHAKA SANGHA, SHREE SHIDDESHWARA DEGREE COLLEGE BILAGI",Karnataka,Bagalkote,,-,,,tech,,,,,
,HARSHA INSTITUTE OF MANAGEMENT STUDIES,Karnataka,Bengaluru Rural,,www.harshainstitutions.com,,,mgt,,,,,
,SHRI SHANAMUKAPPA LAXMAPPA AMMANNAVAR DEGREE COLLEGE BALAGANUR CROSS,Karnataka,Vijayapura,,-,,,tech,,,,,
,Shri Siddeshwar education Socialites Arts Degree College At Bhatagunaki ,Karnataka,Vijayapura,,WWW.SSESAC.COM,,,tech,,,,,
,"Government First Grade College, Behind BEO Office, Robertsonpet, 3rd Cross, KGF-563 122, Kolar Dist.",Karnataka,Kolar,,https://gfgc.kar.nic.in/kgf/,,,tech,,,,,
,ADARSH FIRST GRADE ARTS AND SCIENCE COLLEGE KALAKERI,Karnataka,Vijayapura,,www.adarshgoup.org,,,tech,,,,,
,B319 ST PAULS SCIENCE AND COMMERCE DEGREE COLLEGE BIDAR,Karnataka,Bidar,,www.stpaulsdegreecollege.com,,,tech,,,,,
,"B323 CITY DEGREE COLLEGE, BIDAR",Karnataka,Bidar,,-,,,tech,,,,,
,"Shri Jagajyoti Basaveswar Vidyavardhak Sangh R Late Smt Matoshree Kashibaigoudati Basanagouda Patil arts and Commerce Degree College, Pulakeshi Nagar Basavan Bagewade Road Vijjayapur",Karnataka,Vijayapura,,sjbinstitutions.org,,,tech,,,,,
,"SHREE VEDHA COLLEGE, PAPAREDDY PALYA BENGALURU",Karnataka,Bengaluru Urban,,www.shreevedha.in,,,tech,,,,,
,RAJIV GANDHI ARTS AND COMMERCE COLLEGE RON,Karnataka,Gadag,,http://www.rgesociron.org,,,tech,,,,,
,SRI SAI EVENING COLLEGE,Karnataka,Bengaluru Urban,,https://www.srisaieveningcollege.com/,,,tech,,,,,
,"Jain College, No.15, Vasavi Temple Road, V.V. Puram, Bangalore-04. ",Karnataka,Bengaluru Urban,,jaincollege.ac.in,,,tech,,,,,
,"C620 SARVAGNA ARTS And COMM. DEG. COLL., AURAD(B), KALABU",Karnataka,Kalaburagi,,-,,,tech,,,,,
,"BET Sadathunnisa College, Bismillah Nagar, Bannerghatta Road, Jayanagar, Bangalore-29",Karnataka,Bengaluru Urban,,https://betscollege.edu.in/,,,tech,,,,,
,DR H N NATIONAL COLLEGE OF ENGINEERING    ,Karnataka,Bengaluru Urban,,www.drhnnce.org.in,,,tech,,,,,
,"Government First Grade College, Bagepalli-561 207, Chikkaballapur Dist.",Karnataka,Chikkaballapura,,https://gfgc.karnataka.gov.in/bagepalli/public/,,,tech,,,,,
,"Vidya Sanskaar Institute of Science, Commerce & Management, Machohalli gate, Magadi Main Road, Bengaluru -560 091 Ph: 9900505885, 28535286/27, 28536855/56  (2011-12)",Karnataka,Bengaluru Urban,,www.vidyasanskaar.edu.in,,,mgt,,,,,
,CES INSTITUTE OF FASHION TECHNOLOGY,Karnataka,Bengaluru Urban,,www.cesift.com,,,tech,,,,,
,"Global Innovative College of Computer Applications Akshay Colony, Hubballi",Karnataka,Dharwad,,www.jgicollege.in,,,tech,,,,,
,MCNAY DOONS DEGREE COLLEGE ,Karnataka,Bengaluru Urban,,Mcnaydoonscollege.com,,,tech,,,,,
,cauvery college of physiotheraphy,Karnataka,Mysuru,,cauverygroupofinstitution.org,,,tech,,,,,
,IDeA Worldwide College,Karnataka,Bengaluru Urban,,www.idea-worldwide.com,,,tech,,,,,
,ASC SILVER VALLEY DEGREE COLLEGE,Karnataka,Bengaluru Urban,,https://silvervalleycollege.com,,,tech,,,,,
,"Dr. B.B. Hegde First Grade College, Near Mookambika Industries, Kundapura--576201",Karnataka,Udupi,,www.bbhegdecollege.in,,,tech,,,,,
,"Smt. Rukmini Shedthi Memorial National Govt. First Grade College, Barkur",Karnataka,Udupi,,http://gfgc.kar.nic.in/barkur/,,,tech,,,,,
,"Sri Dharmasthala Manjunatheshwara College of Buisiness Management, Mangalore-575003",Karnataka,Dakshina Kannada,,www.sdm.ac.in,,,mgt,,,,,
,"Alva's College, Sundari Ananada Alva Campus, Moodabidri - 574227",Karnataka,Dakshina Kannada,,www.alvascollege.org,,,tech,,,,,
,"Poornaprajna Institute of Management, Udupi",Karnataka,Udupi,,www.pim.ac.in,,,mgt,,,,,
,"Tippu Sulthan First Grade College, Ombathukere P.O. Ullal-574159",Karnataka,Dakshina Kannada,,www.tippusultancollege.com,,,tech,,,,,
,"St.Mary's College, Shirva-574116",Karnataka,Udupi,,www.smcshirva.edu.in,,,tech,,,,,
,"Mahatma Gandhi Memorial College, Udupi - 576102",Karnataka,Udupi,,www.mgmudupi.ac.in,,,tech,,,,,
,"Hoysala College of Management, Shimoga.",Karnataka,Shivamogga,,www.hoysalacollege.com,,,mgt,,,,,
,"Badriya First Grade College, Kandak, Mangalore-575001",Karnataka,Dakshina Kannada,,www.badriaorg.com,,,tech,,,,,
,"Govt. First Grade College, Sullia",Karnataka,Dakshina Kannada,,www.gfgcsullia.org,,,tech,,,,,
,"Kanachur Institute of Management and Science, Deralakatte, Mangalore",Karnataka,Dakshina Kannada,,www.kanachur.org,,,mgt,,,,,
,"Dr. M.V. Shetty Institute of Professional Sciences and Management, Mangaluru",Karnataka,Dakshina Kannada,,www.mvshettycolleges.edu.in,,,mgt,,,,,
,"Sri Niranjana Swamy First Grade College, Sunkadakatte, Bajpe",Karnataka,Dakshina Kannada,,www.snsfgc.com,,,tech,,,,,
,"Govt. First Grade College, Bettampady",Karnataka,Dakshina Kannada,,https://demo.karnataka.gov.in/bettampady/public/,,,tech,,,,,
,"Sri Devi Institute of Social Work, Ballalbagh, Mangalore-575003",Karnataka,Dakshina Kannada,,www.sdc.ac.in,,,tech,,,,,
,"Sacred Heart College, Madanthyar-574224",Karnataka,Dakshina Kannada,,www.sacredheartcollege.net,,,tech,,,,,
,"St. Agnes College, Mangalore-575002",Karnataka,Dakshina Kannada,,www.stagnescollege.edu.in,,,tech,,,,,
,"Alva's College of Education, Sundari Ananda Alva Campus, Moodabidri- 5742207",Karnataka,Dakshina Kannada,,https://alvasbed.com,,,tech,,,,,
,"Govt. First Grade College, Byndoor - 576214",Karnataka,Udupi,,https://demo.karnataka.gov.in/byndoor/public,,,tech,,,,,
,"Sri Gokarnatheshwara College, Gandhinagar, Mangalore-576003",Karnataka,Dakshina Kannada,,www.gokarnanatheshwaracollege.com,,,tech,,,,,
,"Sri Devi College of Fashion Design, Ballalbagh, Mangalore-575003",Karnataka,Dakshina Kannada,,www.sdc.ac.in,,,tech,,,,,
,"Sarasa College of Arts & Science, Ramakripa, Coconut Garden, Near Nanthoor, N.H.17, Mangalore-575002",Karnataka,Dakshina Kannada,,www.mvshettycolleges.edu.in,,,tech,,,,,
,"Karavali College, NH-17, Near Kottara Chowki Junction, Bangra Kuloor, Mangalore-13",Karnataka,Dakshina Kannada,,www.karavalicollege.ac.in,,,tech,,,,,
,ASC SILVER VALLEY DEGREE EVENING COLLEGE,Karnataka,Bengaluru Urban,,https://silvervalleycollege.com/,,,tech,,,,,
,BIPIN CHIKKATTI DEGREE COLLEGE MUNDARGI ROAD GADAG,Karnataka,Gadag,,www.chikkattieducation.co.in,,,tech,,,,,
,ATLAS COLLEGE OF NUSRING,Karnataka,Bidar,,www.atlascollegeofnursing.com,,,tech,,,,,
,"C627 SRI. NEELKANTHA DEGREE COLLEGE, SHORAPUR, YADGIR",Karnataka,Yadgir,,-,,,tech,,,,,
,GOLDEN DEGREE COLLEGE OF ARTS SCIENCE COMMERCE AND MANAGEMENT STUDIES,Karnataka,Kolar,,www.goldendegreecollege.org,,,mgt,,,,,
